scale_factor,column,codec,raw_bytes,compressed_bytes,ratio,bits_per_value,n_distinct,notes
10,l_returnflag,FOR,1,1,1.0,5,3,range=17
10,l_returnflag,FOR+bitpack,1,0.625,1.6,5,3,
10,l_returnflag,dictionary,1,1,1.0,2,3,3 distinct values
10,l_returnflag,mostly_op_dict,1,1,1.0,8,3,"coverage=100.0%, escapes=0"
10,l_linestatus,FOR,1,1,1.0,4,2,range=9
10,l_linestatus,FOR+bitpack,1,0.5,2.0,4,2,
10,l_linestatus,dictionary,1,1,1.0,1,2,2 distinct values
10,l_linestatus,mostly_op_dict,1,1,1.0,8,2,"coverage=100.0%, escapes=0"
10,l_shipdate,FOR,4,2,2.0,12,2526,range=2525
10,l_shipdate,FOR+bitpack,4,1.5,2.67,12,2526,
10,l_shipdate,dictionary,4,2,2.0,12,2526,2526 distinct values
10,l_shipdate,mostly_op_dict,4,8.133,0.49,65.1,2526,"coverage=10.8%, escapes=8916115"
10,l_commitdate,FOR,4,2,2.0,12,2466,range=2465
10,l_commitdate,FOR+bitpack,4,1.5,2.67,12,2466,
10,l_commitdate,dictionary,4,2,2.0,12,2466,2466 distinct values
10,l_commitdate,mostly_op_dict,4,8.132,0.49,65.1,2466,"coverage=10.9%, escapes=8914991"
10,l_receiptdate,FOR,4,2,2.0,12,2555,range=2554
10,l_receiptdate,FOR+bitpack,4,1.5,2.67,12,2555,
10,l_receiptdate,dictionary,4,2,2.0,12,2555,2555 distinct values
10,l_receiptdate,mostly_op_dict,4,8.133,0.49,65.1,2555,"coverage=10.8%, escapes=8915820"
10,l_extendedprice,FOR,8,3,2.67,24,1275784,range=10404800
10,l_extendedprice,FOR+bitpack,8,3.0,2.67,24,1275784,
10,l_extendedprice,dictionary,8,3,2.67,21,1275784,1275784 distinct values
10,l_extendedprice,mostly_op_dict,8,8.989,0.89,71.9,1275784,"coverage=0.1%, escapes=9986253"
10,l_discount,FOR,8,1,8.0,4,11,range=10
10,l_discount,FOR+bitpack,8,0.5,16.0,4,11,
10,l_discount,dictionary,8,1,8.0,4,11,11 distinct values
