scenario,gpu,gb,records,n_runs,passes,wall_ms,merge_ms,total_ms,gb_per_s,h2d_gb,d2h_gb,pcie_gb,depth
sf50_baseline_run1,NVIDIA H100,36.00,300005811,1,1,1725.01,2357.91,4082.92,8.8174,19.80,1.20,21.00,0.6
sf50_baseline_run2,NVIDIA H100,36.00,300005811,1,1,1725.72,1151.32,2877.04,12.5131,19.80,1.20,21.00,0.6
sf50_baseline_run3,NVIDIA H100,36.00,300005811,1,1,1775.06,1075.50,2850.56,12.6293,19.80,1.20,21.00,0.6
sf50_baseline_run4,NVIDIA H100,36.00,300005811,1,1,1723.69,1057.61,2781.30,12.9438,19.80,1.20,21.00,0.6
sf50_baseline_run5,NVIDIA H100,36.00,300005811,1,1,1775.41,849.59,2624.99,13.7146,19.80,1.20,21.00,0.6
sf50_bitpack_run1,NVIDIA H100,36.00,300005811,1,1,1726.79,6163.95,7890.74,4.5624,19.80,1.20,21.00,0.6
sf50_bitpack_run2,NVIDIA H100,36.00,300005811,1,1,1724.71,1064.15,2788.86,12.9088,19.80,1.20,21.00,0.6
sf50_bitpack_run3,NVIDIA H100,36.00,300005811,1,1,1778.32,1055.94,2834.26,12.7020,19.80,1.20,21.00,0.6
sf50_bitpack_run4,NVIDIA H100,36.00,300005811,1,1,1724.92,1089.45,2814.37,12.7917,19.80,1.20,21.00,0.6
sf50_bitpack_run5,NVIDIA H100,36.00,300005811,1,1,1768.71,1028.05,2796.77,12.8723,19.80,1.20,21.00,0.6
