Sampling 1000000 of 1799989091 records (216.00GB)

Summary:
  Low entropy (<=16 distinct):  48 bytes
  Mid entropy (17-64):          4 bytes
  High entropy (>64):           14 bytes
  Total bytes scanned:          66
  Total entropy bits per record: 156.0 (vs 528 if all bytes were full)
  Theoretical compact key size:  19.5 bytes
  Compact map decision (bytes used):  66 of 66
byte_position,distinct_values,fraction_full,bits_used
0,3,0.012,2
1,2,0.008,1
2,1,0.004,0
3,1,0.004,0
4,11,0.043,4
5,256,1.000,8
6,1,0.004,0
7,1,0.004,0
8,11,0.043,4
9,256,1.000,8
10,1,0.004,0
11,1,0.004,0
12,11,0.043,4
13,256,1.000,8
14,1,0.004,0
15,1,0.004,0
16,1,0.004,0
17,1,0.004,0
18,1,0.004,0
19,160,0.625,8
20,256,1.000,8
21,256,1.000,8
22,1,0.004,0
23,1,0.004,0
24,1,0.004,0
25,1,0.004,0
26,1,0.004,0
27,1,0.004,0
28,1,0.004,0
29,11,0.043,4
30,1,0.004,0
31,1,0.004,0
32,1,0.004,0
33,1,0.004,0
34,1,0.004,0
35,1,0.004,0
36,1,0.004,0
37,9,0.035,4
38,1,0.004,0
39,1,0.004,0
40,1,0.004,0
41,1,0.004,0
42,1,0.004,0
43,1,0.004,0
44,20,0.078,5
45,50,0.195,6
46,1,0.004,0
47,1,0.004,0
48,1,0.004,0
49,1,0.004,0
50,108,0.422,7
51,256,1.000,8
52,256,1.000,8
53,64,0.250,6
54,4,0.016,2
55,256,1.000,8
56,256,1.000,8
57,256,1.000,8
58,1,0.004,0
59,46,0.180,6
60,256,1.000,8
61,256,1.000,8
62,1,0.004,0
63,1,0.004,0
64,1,0.004,0
65,7,0.027,3
