scale_factor,column,raw_bytes,packed_bits,packed_bytes,ratio_vs_raw
10,l_returnflag,1,5,1,1.0
10,l_linestatus,1,4,1,1.0
10,l_shipdate,4,12,2,2.0
10,l_commitdate,4,12,2,2.0
10,l_receiptdate,4,12,2,2.0
10,l_extendedprice,8,24,3,2.67
10,l_discount,8,4,1,8.0
10,l_tax,8,4,1,8.0
10,l_quantity,8,13,2,4.0
10,l_orderkey,8,26,4,2.0
10,l_partkey,4,21,3,1.33
10,l_suppkey,4,17,3,1.33
10,l_linenumber,4,3,1,4.0
50,l_returnflag,1,5,1,1.0
50,l_linestatus,1,4,1,1.0
50,l_shipdate,4,12,2,2.0
50,l_commitdate,4,12,2,2.0
50,l_receiptdate,4,12,2,2.0
50,l_extendedprice,8,24,3,2.67
50,l_discount,8,4,1,8.0
50,l_tax,8,4,1,8.0
50,l_quantity,8,13,2,4.0
50,l_orderkey,8,29,4,2.0
50,l_partkey,4,24,3,1.33
50,l_suppkey,4,19,3,1.33
50,l_linenumber,4,3,1,4.0
100,l_returnflag,1,5,1,1.0
100,l_linestatus,1,4,1,1.0
100,l_shipdate,4,12,2,2.0
100,l_commitdate,4,12,2,2.0
100,l_receiptdate,4,12,2,2.0
100,l_extendedprice,8,24,3,2.67
100,l_discount,8,4,1,8.0
100,l_tax,8,4,1,8.0
100,l_quantity,8,13,2,4.0
100,l_orderkey,8,30,4,2.0
100,l_partkey,4,25,4,1.0
100,l_suppkey,4,20,3,1.33
100,l_linenumber,4,3,1,4.0
300,l_returnflag,1,5,1,1.0
300,l_linestatus,1,4,1,1.0
300,l_shipdate,4,12,2,2.0
300,l_commitdate,4,12,2,2.0
300,l_receiptdate,4,12,2,2.0
300,l_extendedprice,8,24,3,2.67
300,l_discount,8,4,1,8.0
300,l_tax,8,4,1,8.0
300,l_quantity,8,13,2,4.0
300,l_orderkey,8,31,4,2.0
300,l_partkey,4,26,4,1.0
300,l_suppkey,4,22,3,1.33
300,l_linenumber,4,3,1,4.0
500,l_returnflag,1,5,1,1.0
500,l_linestatus,1,4,1,1.0
500,l_shipdate,4,12,2,2.0
500,l_commitdate,4,12,2,2.0
500,l_receiptdate,4,12,2,2.0
500,l_extendedprice,8,24,3,2.67
500,l_discount,8,4,1,8.0
500,l_tax,8,4,1,8.0
500,l_quantity,8,13,2,4.0
500,l_orderkey,8,32,4,2.0
500,l_partkey,4,27,4,1.0
500,l_suppkey,4,23,3,1.33
500,l_linenumber,4,3,1,4.0
1000,l_returnflag,1,5,1,1.0
1000,l_linestatus,1,4,1,1.0
1000,l_shipdate,4,12,2,2.0
1000,l_commitdate,4,12,2,2.0
1000,l_receiptdate,4,12,2,2.0
1000,l_extendedprice,8,24,3,2.67
1000,l_discount,8,4,1,8.0
1000,l_tax,8,4,1,8.0
1000,l_quantity,8,13,2,4.0
1000,l_orderkey,8,33,5,1.6
1000,l_partkey,4,28,4,1.0
1000,l_suppkey,4,24,3,1.33
1000,l_linenumber,4,3,1,4.0
1500,l_returnflag,1,5,1,1.0
1500,l_linestatus,1,4,1,1.0
1500,l_shipdate,4,12,2,2.0
1500,l_commitdate,4,12,2,2.0
1500,l_receiptdate,4,12,2,2.0
1500,l_extendedprice,8,24,3,2.67
1500,l_discount,8,4,1,8.0
1500,l_tax,8,4,1,8.0
1500,l_quantity,8,13,2,4.0
1500,l_orderkey,8,34,5,1.6
1500,l_partkey,4,29,4,1.0
1500,l_suppkey,4,24,3,1.33
1500,l_linenumber,4,3,1,4.0
